(take-unit-two jack textiles higher)
(take-unit-two jack french national-five)
(take-unit-two jack chemistry higher)
(take-unit-two jack physics national-four)
(take-unit-two jack admin-it year-two)
(take-unit-two william latin national-five)
(take-unit-two william cantonese higher)
(take-unit-two william dance higher)
(take-unit-one william geography year-three)
(take-unit-one william english higher)
(take-unit-four alexander practical-woodwork year-one)
(take-unit-three alexander drama national-four)
(take-unit-three alexander biology year-one)
(take-unit-three alexander business-management adv-higher)
(take-unit-three alexander chemistry adv-higher)
(take-unit-three aurora music higher)
(take-unit-three aurora urdu higher)
(take-unit-three aurora latin year-one)
(take-unit-three aurora textiles year-one)
(take-unit-three aurora chemistry year-two)
(take-unit-three pippa cantonese adv-higher)
(take-unit-three pippa history national-four)
(take-unit-three pippa drama year-two)
(take-unit-three pippa mandarin adv-higher)
(take-unit-three pippa maths adv-higher)
