(take-unit-four jude spanish national-five)
(take-unit-four jude art-design year-one)
(take-unit-four jude modern-studies year-one)
(take-unit-four jude italian national-five)
(take-unit-four jude graph-comm national-four)
(take-unit-four grace practical-woodwork national-five)
(take-unit-four grace biology year-two)
(take-unit-four grace textiles national-four)
(take-unit-four grace physics higher)
(take-unit-four grace gaelic higher)
(take-unit-four sofia dance higher)
(take-unit-four sofia music year-two)
(take-unit-four sofia cantonese national-four)
(take-unit-four sofia art-design national-four)
(take-unit-four sofia urdu adv-higher)
