(take-unit-three alexander german national-four)
(take-unit-three alexander design-manufacture higher)
(take-unit-three alexander music-tech year-one)
(take-unit-three alexander graph-comm adv-higher)
(take-unit-three alexander art-design year-three)
(take-unit-four aurora maths adv-higher)
(take-unit-four aurora italian national-five)
(take-unit-four aurora history higher)
(take-unit-four aurora dance national-five)
(take-unit-four aurora mandarin national-four)
(take-unit-four zachary mandarin national-five)
(take-unit-one zachary english national-four)
(take-unit-one zachary mandarin higher)
(take-unit-one zachary chemistry year-one)
(take-unit-two zachary urdu higher)
(take-unit-two robyn geography national-five)
(take-unit-two robyn music-tech year-two)
(take-unit-two robyn art-design national-five)
(take-unit-two robyn pc-passport national-five)
(take-unit-three robyn numeracy year-one)
