(take-unit-four harry politics year-two)
(take-unit-four harry physics year-one)
(take-unit-four harry admin-it national-five)
(take-unit-four harry business-management adv-higher)
(take-unit-four harry italian year-three)
(comms-workshop-student-led-class harry)
(take-unit-four james phys-ed year-two)
(take-unit-four james drama national-five)
(take-unit-four james graph-comm year-three)
(take-unit-four james numeracy year-one)
(take-unit-four james rmps national-five)
(comms-workshop-teamwork james)
