(take-unit-four esme music higher)
(take-unit-four esme french national-four)
(take-unit-four esme german national-four)
(take-unit-four esme geography year-one)
(take-unit-four esme music-tech national-four)
(take-unit-four harper landscape-gardening national-five)
(take-unit-four harper landscape-gardening adv-higher)
(take-unit-four harper music year-two)
(take-unit-four harper graph-comm higher)
(take-unit-four harper gaelic year-one)
(take-unit-four henry chemistry adv-higher)
(take-unit-four henry comp-sci adv-higher)
(take-unit-four henry modern-studies adv-higher)
(take-unit-four henry gaelic year-two)
(take-unit-four henry philosophy adv-higher)
(take-unit-four george textiles year-two)
(take-unit-four george dance year-two)
(take-unit-four george philosophy adv-higher)
(take-unit-four george phys-ed year-one)
(take-unit-four george admin-it year-two)
(take-unit-four erin chemistry year-two)
(take-unit-four erin politics year-two)
(take-unit-four erin comp-sci national-four)
(take-unit-four erin graph-comm national-four)
(take-unit-four erin design-manufacture adv-higher)
(take-unit-four zara maths year-two)
(take-unit-four zara landscape-gardening year-three)
(take-unit-four zara mandarin national-four)
(take-unit-four zara esol year-one)
(take-unit-four zara graph-comm year-three)
(take-unit-four ella textiles adv-higher)
(take-unit-four ella music year-three)
(take-unit-four ella french higher)
(take-unit-four ella music-tech year-two)
(take-unit-four ella italian national-five)
(take-unit-four caleb home-economics year-one)
(take-unit-four caleb business-management adv-higher)
(take-unit-four caleb textiles national-five)
(take-unit-four caleb gaelic national-five)
(take-unit-four caleb chemistry national-five)
