(take-unit-four grace numeracy higher)
(take-unit-four grace design-manufacture adv-higher)
(take-unit-four grace landscape-gardening year-two)
(take-unit-four grace spanish year-two)
(take-unit-four grace esol year-one)
(take-unit-four esme esol national-five)
(take-unit-four esme politics adv-higher)
(take-unit-four esme home-economics year-three)
(take-unit-four esme maths higher)
(take-unit-four esme drama national-four)
(take-unit-four jackson italian year-two)
(take-unit-four jackson rmps year-three)
(take-unit-four jackson philosophy national-five)
(take-unit-four jackson chemistry higher)
(take-unit-four jackson graph-comm year-three)
(take-unit-four oscar cantonese year-two)
(take-unit-four oscar geography higher)
(take-unit-four oscar geography year-two)
(take-unit-four oscar physics national-four)
(take-unit-four oscar music-tech national-five)
(take-unit-four jasper textiles year-one)
(take-unit-four jasper dance higher)
(take-unit-four jasper latin higher)
(take-unit-four jasper rmps year-two)
(take-unit-four jasper practical-woodwork year-one)
(take-unit-four layla home-economics national-four)
(take-unit-four layla landscape-gardening adv-higher)
(take-unit-four layla physics year-two)
(take-unit-four layla lifeskills adv-higher)
(take-unit-four layla chemistry adv-higher)
(take-unit-four emily rmps year-three)
(take-unit-four emily comp-sci higher)
(take-unit-four emily german higher)
(take-unit-four emily landscape-gardening national-four)
(take-unit-four emily rmps higher)
(take-unit-four ada physics national-five)
(take-unit-four ada comp-sci higher)
(take-unit-four ada drama year-two)
(take-unit-four ada graph-comm year-three)
(take-unit-four ada physics higher)
(take-unit-four david cantonese year-one)
(take-unit-four david esol higher)
(take-unit-four david design-manufacture year-three)
(take-unit-four david numeracy national-five)
(take-unit-four david italian national-five)
